"date","site","year","plant","total_flowers"
2022-06-23,"Rustlers Gulch",2022,"Delphinium nuttallianum",28
2022-06-23,"Rustlers Gulch",2022,"Fragaria virginiana",104
2022-06-23,"Rustlers Gulch",2022,"Geum triflorum",5
2022-06-23,"Rustlers Gulch",2022,"Potentilla pulcherrima",12
2022-06-23,"Rustlers Gulch",2022,"Pseudocymopterus montanus",51
2022-06-23,"Rustlers Gulch",2022,"Ranunculus inamoenus",1
2022-06-23,"Rustlers Gulch",2022,"Taraxacum officinale",6
2022-06-23,"Rustlers Gulch",2022,"Valeriana edulis",74
2022-06-23,"Rustlers Gulch",2022,"Valeriana occidentalis",9
2022-06-24,"Ohio Pass Low",2022,"Dyrmocallis arguta",6
2022-06-24,"Ohio Pass Low",2022,"Geranium viscosissimum",78
2022-06-24,"Ohio Pass Low",2022,"Lathyrus leucanthus",99
2022-06-24,"Ohio Pass Low",2022,"Potentilla pulcherrima",8
2022-06-24,"Ohio Pass Low",2022,"Pseudostellaria jamesiana",2
2022-06-24,"Ohio Pass Low",2022,"Taraxacum officinale",1
2022-06-24,"Ohio Pass Low",2022,"Valeriana occidentalis",215
2022-06-24,"Ohio Pass Low",2022,"Vicia americana",33
2022-06-25,"Ohio Pass High",2022,"Androsace septentrionalis",166
2022-06-25,"Ohio Pass High",2022,"Boechera stricta",21
2022-06-25,"Ohio Pass High",2022,"Delphinium nuttallianum",475
2022-06-25,"Ohio Pass High",2022,"Hydrophyllum capitatum",1
2022-06-25,"Ohio Pass High",2022,"Lathyrus leucanthus",20
2022-06-25,"Ohio Pass High",2022,"Mertensia fusiformis",16
2022-06-25,"Ohio Pass High",2022,"Osmorhiza occidentalis",5
2022-06-25,"Ohio Pass High",2022,"Polygonum douglasii",3
2022-06-25,"Ohio Pass High",2022,"Pseudostellaria jamesiana",29
2022-06-25,"Ohio Pass High",2022,"Ranunculus alismifolius",15
2022-06-25,"Ohio Pass High",2022,"Ranunculus inamoenus",3
2022-06-25,"Ohio Pass High",2022,"Thlaspi arvense",3
2022-06-25,"Ohio Pass High",2022,"Viola praemorsa",3
2022-06-28,"Rustlers Gulch",2022,"Androsace septentrionalis",1
2022-06-28,"Rustlers Gulch",2022,"Boechera stricta",3
2022-06-28,"Rustlers Gulch",2022,"Delphinium nuttallianum",12
2022-06-28,"Rustlers Gulch",2022,"Fragaria virginiana",30
2022-06-28,"Rustlers Gulch",2022,"Geum triflorum",8
2022-06-28,"Rustlers Gulch",2022,"Potentilla fruticosa",3
2022-06-28,"Rustlers Gulch",2022,"Potentilla pulcherrima",109
2022-06-28,"Rustlers Gulch",2022,"Pseudocymopterus montanus",50
2022-06-28,"Rustlers Gulch",2022,"Ranunculus inamoenus",1
2022-06-28,"Rustlers Gulch",2022,"Valeriana edulis",169
2022-06-28,"Rustlers Gulch",2022,"Valeriana occidentalis",8
2022-06-29,"Stupid Falls",2022,"Agoseris aurantiaca",1
2022-06-29,"Stupid Falls",2022,"Boechera stricta",3
2022-06-29,"Stupid Falls",2022,"Collomia linearis",176
2022-06-29,"Stupid Falls",2022,"Draba aurea",6
2022-06-29,"Stupid Falls",2022,"Lathyrus leucanthus",4
2022-06-29,"Stupid Falls",2022,"Lupinus sp.",108
2022-06-29,"Stupid Falls",2022,"Mertensia fusiformis",1
2022-06-29,"Stupid Falls",2022,"Potentilla pulcherrima",28
2022-06-29,"Stupid Falls",2022,"Senecio crassulus",12
2022-06-29,"Stupid Falls",2022,"Thlaspi arvense",1
2022-06-29,"Stupid Falls",2022,"Tragopogon dubius",1
2022-06-29,"Stupid Falls",2022,"Valeriana occidentalis",112
2022-07-01,"Kebler Pass",2022,"Allium geyeri",14
2022-07-01,"Kebler Pass",2022,"Boechera stricta",3
2022-07-01,"Kebler Pass",2022,"Delphinium nuttallianum",122
2022-07-01,"Kebler Pass",2022,"Lathyrus leucanthus",26
2022-07-01,"Kebler Pass",2022,"Ligusticum porteri",1
2022-07-01,"Kebler Pass",2022,"Linum lewisii",1
2022-07-01,"Kebler Pass",2022,"Senecio crassulus",9
2022-07-01,"Kebler Pass",2022,"Taraxacum officinale",2
2022-07-01,"Kebler Pass",2022,"Thalictrum fendleri",7
2022-07-01,"Kebler Pass",2022,"Wyethia amplexicaulis",33
2022-07-02,"Ohio Pass High",2022,"Androsace septentrionalis",41
2022-07-02,"Ohio Pass High",2022,"Boechera stricta",9
2022-07-02,"Ohio Pass High",2022,"Castilleja sulphurea",7
2022-07-02,"Ohio Pass High",2022,"Delphinium nuttallianum",206
2022-07-02,"Ohio Pass High",2022,"Lathyrus leucanthus",84
2022-07-02,"Ohio Pass High",2022,"Ligusticum porteri",4
2022-07-02,"Ohio Pass High",2022,"Potentilla pulcherrima",20
2022-07-02,"Ohio Pass High",2022,"Senecio crassulus",1
2022-07-05,"Brush Creek Hill",2022,"Agastache urticifolia",11
2022-07-05,"Brush Creek Hill",2022,"Collomia linearis",54
2022-07-05,"Brush Creek Hill",2022,"Delphinium barbeyi",722
2022-07-05,"Brush Creek Hill",2022,"Erigeron speciosus",15
2022-07-05,"Brush Creek Hill",2022,"Lathyrus leucanthus",8
2022-07-05,"Brush Creek Hill",2022,"Linum lewisii",29
2022-07-05,"Brush Creek Hill",2022,"Polygonum douglasii",7
2022-07-05,"Brush Creek Hill",2022,"Potentilla pulcherrima",3
2022-07-05,"Brush Creek Hill",2022,"Thlaspi arvense",3
2022-07-05,"Brush Creek Hill",2022,"Tragopogon dubius",21
2022-07-05,"Brush Creek Hill",2022,"Vicia americana",4
2022-07-05,"Ohio Pass Low",2022,"Achillea millefolium",3
2022-07-05,"Ohio Pass Low",2022,"Collomia linearis",21
2022-07-05,"Ohio Pass Low",2022,"Dyrmocallis arguta",27
2022-07-05,"Ohio Pass Low",2022,"Galium boreale",13
2022-07-05,"Ohio Pass Low",2022,"Geranium viscosissimum",44
2022-07-05,"Ohio Pass Low",2022,"Lathyrus leucanthus",24
2022-07-05,"Ohio Pass Low",2022,"Ligusticum porteri",7
2022-07-05,"Ohio Pass Low",2022,"Potentilla pulcherrima",115
2022-07-05,"Ohio Pass Low",2022,"Pseudostellaria jamesiana",52
2022-07-05,"Ohio Pass Low",2022,"Tragopogon dubius",30
2022-07-05,"Ohio Pass Low",2022,"Valeriana occidentalis",6
2022-07-05,"Ohio Pass Low",2022,"Vicia americana",34
2022-07-07,"Kebler Pass",2022,"Boechera stricta",4
2022-07-07,"Kebler Pass",2022,"Delphinium nuttallianum",8
2022-07-07,"Kebler Pass",2022,"Helianthella quinquenervis",8
2022-07-07,"Kebler Pass",2022,"Lathyrus leucanthus",17
2022-07-07,"Kebler Pass",2022,"Ligusticum porteri",3
2022-07-07,"Kebler Pass",2022,"Linum lewisii",2
2022-07-07,"Kebler Pass",2022,"Potentilla pulcherrima",2
2022-07-07,"Kebler Pass",2022,"Senecio crassulus",350
2022-07-07,"Kebler Pass",2022,"Thalictrum fendleri",3
2022-07-07,"Kebler Pass",2022,"Wyethia amplexicaulis",53
2022-07-07,"Stupid Falls",2022,"Achillea millefolium",6
2022-07-07,"Stupid Falls",2022,"Agoseris aurantiaca",1
2022-07-07,"Stupid Falls",2022,"Collomia linearis",281
2022-07-07,"Stupid Falls",2022,"Delphinium barbeyi",5
2022-07-07,"Stupid Falls",2022,"Descurainia incana",12
2022-07-07,"Stupid Falls",2022,"Lathyrus leucanthus",3
2022-07-07,"Stupid Falls",2022,"Lupinus sp.",4
2022-07-07,"Stupid Falls",2022,"Potentilla pulcherrima",133
2022-07-07,"Stupid Falls",2022,"Thalictrum fendleri",2
2022-07-07,"Stupid Falls",2022,"Thlaspi arvense",6
2022-07-07,"Stupid Falls",2022,"Tragopogon dubius",4
2022-07-07,"Stupid Falls",2022,"Valeriana occidentalis",20
2022-07-08,"Rustlers Gulch",2022,"Achillea millefolium",12
2022-07-08,"Rustlers Gulch",2022,"Agoseris glauca",1
2022-07-08,"Rustlers Gulch",2022,"Fragaria virginiana",1
2022-07-08,"Rustlers Gulch",2022,"Geum triflorum",3
2022-07-08,"Rustlers Gulch",2022,"Hymenoxys hoopesii",4
2022-07-08,"Rustlers Gulch",2022,"Linum lewisii",1
2022-07-08,"Rustlers Gulch",2022,"Potentilla fruticosa",27
2022-07-08,"Rustlers Gulch",2022,"Potentilla pulcherrima",303
2022-07-08,"Rustlers Gulch",2022,"Pseudocymopterus montanus",42
2022-07-08,"Rustlers Gulch",2022,"Ranunculus inamoenus",1
2022-07-08,"Rustlers Gulch",2022,"Taraxacum officinale",1
2022-07-08,"Rustlers Gulch",2022,"Thalictrum fendleri",2
2022-07-08,"Rustlers Gulch",2022,"Valeriana edulis",141
2022-07-08,"Rustlers Gulch",2022,"Vicia americana",3
2022-07-11,"Ohio Pass High",2022,"Androsace septentrionalis",15
2022-07-11,"Ohio Pass High",2022,"Boechera stricta",1
2022-07-11,"Ohio Pass High",2022,"Castilleja sulphurea",61
2022-07-11,"Ohio Pass High",2022,"Collomia linearis",63
2022-07-11,"Ohio Pass High",2022,"Delphinium nuttallianum",5
2022-07-11,"Ohio Pass High",2022,"Erigeron elatior",1
2022-07-11,"Ohio Pass High",2022,"Helianthella quinquenervis",6
2022-07-11,"Ohio Pass High",2022,"Hymenoxys hoopesii",1
2022-07-11,"Ohio Pass High",2022,"Lathyrus leucanthus",91
2022-07-11,"Ohio Pass High",2022,"Ligusticum porteri",46
2022-07-11,"Ohio Pass High",2022,"Potentilla pulcherrima",69
2022-07-11,"Ohio Pass High",2022,"Pseudostellaria jamesiana",1
2022-07-11,"Ohio Pass High",2022,"Senecio crassulus",61
2022-07-11,"Ohio Pass High",2022,"Vicia americana",1
2022-07-11,"Ohio Pass Low",2022,"Achillea millefolium",17
2022-07-11,"Ohio Pass Low",2022,"Collomia linearis",83
2022-07-11,"Ohio Pass Low",2022,"Dyrmocallis arguta",6
2022-07-11,"Ohio Pass Low",2022,"Erigeron speciosus",3
2022-07-11,"Ohio Pass Low",2022,"Galium boreale",10
2022-07-11,"Ohio Pass Low",2022,"Geranium viscosissimum",50
2022-07-11,"Ohio Pass Low",2022,"Ligusticum porteri",12
2022-07-11,"Ohio Pass Low",2022,"Potentilla pulcherrima",200
2022-07-11,"Ohio Pass Low",2022,"Pseudostellaria jamesiana",45
2022-07-11,"Ohio Pass Low",2022,"Tragopogon dubius",14
2022-07-11,"Ohio Pass Low",2022,"Vicia americana",7
2022-07-12,"Brush Creek Hill",2022,"Agastache urticifolia",62
2022-07-12,"Brush Creek Hill",2022,"Calochortus gunnisonii",6
2022-07-12,"Brush Creek Hill",2022,"Collomia linearis",211
2022-07-12,"Brush Creek Hill",2022,"Delphinium occidentale",1954
2022-07-12,"Brush Creek Hill",2022,"Epilobium brachycarpum",5
2022-07-12,"Brush Creek Hill",2022,"Erigeron speciosus",514
2022-07-12,"Brush Creek Hill",2022,"Linum lewisii",25
2022-07-12,"Brush Creek Hill",2022,"Polygonum douglasii",21
2022-07-12,"Brush Creek Hill",2022,"Potentilla pulcherrima",1
2022-07-12,"Brush Creek Hill",2022,"Tragopogon dubius",16
2022-07-12,"Brush Creek Hill",2022,"Vicia americana",32
2022-07-13,"Rustlers Gulch",2022,"Achillea millefolium",38
2022-07-13,"Rustlers Gulch",2022,"Agoseris glauca",1
2022-07-13,"Rustlers Gulch",2022,"Boechera stricta",2
2022-07-13,"Rustlers Gulch",2022,"Collomia linearis",4
2022-07-13,"Rustlers Gulch",2022,"Erigeron coulteri",1
2022-07-13,"Rustlers Gulch",2022,"Geum triflorum",1
2022-07-13,"Rustlers Gulch",2022,"Hymenoxys hoopesii",7
2022-07-13,"Rustlers Gulch",2022,"Potentilla fruticosa",61
2022-07-13,"Rustlers Gulch",2022,"Potentilla pulcherrima",535
2022-07-13,"Rustlers Gulch",2022,"Pseudocymopterus montanus",26
2022-07-13,"Rustlers Gulch",2022,"Solidago multiradiata",4
2022-07-13,"Rustlers Gulch",2022,"Valeriana edulis",31
2022-07-13,"Rustlers Gulch",2022,"Vicia americana",8
2022-07-14,"Stupid Falls",2022,"Achillea millefolium",32
2022-07-14,"Stupid Falls",2022,"Agoseris aurantiaca",8
2022-07-14,"Stupid Falls",2022,"Collomia linearis",188
2022-07-14,"Stupid Falls",2022,"Delphinium barbeyi",905
2022-07-14,"Stupid Falls",2022,"Descurainia incana",107
2022-07-14,"Stupid Falls",2022,"Galium boreale",113
2022-07-14,"Stupid Falls",2022,"Lathyrus leucanthus",1
2022-07-14,"Stupid Falls",2022,"Polygonum douglasii",2
2022-07-14,"Stupid Falls",2022,"Potentilla pulcherrima",173
2022-07-14,"Stupid Falls",2022,"Stellaria longifolia",2
2022-07-14,"Stupid Falls",2022,"Taraxacum officinale",1
2022-07-14,"Stupid Falls",2022,"Tragopogon dubius",7
2022-07-14,"Stupid Falls",2022,"Vicia americana",7
2022-07-18,"Kebler Pass",2022,"Boechera stricta",7
2022-07-18,"Kebler Pass",2022,"Collomia linearis",8
2022-07-18,"Kebler Pass",2022,"Erigeron speciosus",51
2022-07-18,"Kebler Pass",2022,"Helianthella quinquenervis",28
2022-07-18,"Kebler Pass",2022,"Heliomeris multiflora",27
2022-07-18,"Kebler Pass",2022,"Ipomopsis aggregata",15
2022-07-18,"Kebler Pass",2022,"Ligusticum porteri",10
2022-07-18,"Kebler Pass",2022,"Linum lewisii",3
2022-07-18,"Kebler Pass",2022,"Potentilla pulcherrima",17
2022-07-18,"Kebler Pass",2022,"Senecio atratus",69
2022-07-18,"Kebler Pass",2022,"Senecio crassulus",385
2022-07-18,"Kebler Pass",2022,"Wyethia amplexicaulis",74
2022-07-20,"Ohio Pass High",2022,"Achillea millefolium",4
2022-07-20,"Ohio Pass High",2022,"Boechera stricta",3
2022-07-20,"Ohio Pass High",2022,"Castilleja sulphurea",172
2022-07-20,"Ohio Pass High",2022,"Collomia linearis",122
2022-07-20,"Ohio Pass High",2022,"Erigeron elatior",23
2022-07-20,"Ohio Pass High",2022,"Erigeron speciosus",24
2022-07-20,"Ohio Pass High",2022,"Helianthella quinquenervis",30
2022-07-20,"Ohio Pass High",2022,"Heliomeris multiflora",4
2022-07-20,"Ohio Pass High",2022,"Hymenoxys hoopesii",5
2022-07-20,"Ohio Pass High",2022,"Lathyrus leucanthus",2
2022-07-20,"Ohio Pass High",2022,"Ligusticum porteri",80
2022-07-20,"Ohio Pass High",2022,"Potentilla pulcherrima",59
2022-07-20,"Ohio Pass High",2022,"Senecio crassulus",27
2022-07-20,"Ohio Pass High",2022,"Vicia americana",5
2022-07-20,"Ohio Pass Low",2022,"Achillea millefolium",53
2022-07-20,"Ohio Pass Low",2022,"Collomia linearis",105
2022-07-20,"Ohio Pass Low",2022,"Erigeron speciosus",14
2022-07-20,"Ohio Pass Low",2022,"Galium boreale",3
2022-07-20,"Ohio Pass Low",2022,"Geranium viscosissimum",30
2022-07-20,"Ohio Pass Low",2022,"Potentilla pulcherrima",177
2022-07-20,"Ohio Pass Low",2022,"Pseudostellaria jamesiana",17
2022-07-20,"Ohio Pass Low",2022,"Solidago multiradiata",7
2022-07-20,"Ohio Pass Low",2022,"Taraxacum officinale",2
2022-07-20,"Ohio Pass Low",2022,"Tragopogon dubius",10
2022-07-20,"Ohio Pass Low",2022,"Vicia americana",6
2022-07-22,"Rustlers Gulch",2022,"Achillea millefolium",42
2022-07-22,"Rustlers Gulch",2022,"Agoseris aurantiaca",2
2022-07-22,"Rustlers Gulch",2022,"Agoseris glauca",1
2022-07-22,"Rustlers Gulch",2022,"Collomia linearis",8
2022-07-22,"Rustlers Gulch",2022,"Erigeron coulteri",1
2022-07-22,"Rustlers Gulch",2022,"Hymenoxys hoopesii",14
2022-07-22,"Rustlers Gulch",2022,"Potentilla fruticosa",27
2022-07-22,"Rustlers Gulch",2022,"Potentilla pulcherrima",513
2022-07-22,"Rustlers Gulch",2022,"Pseudocymopterus montanus",1
2022-07-22,"Rustlers Gulch",2022,"Senecio bigelovii",7
2022-07-22,"Rustlers Gulch",2022,"Solidago multiradiata",70
2022-07-22,"Rustlers Gulch",2022,"Valeriana edulis",38
2022-07-22,"Rustlers Gulch",2022,"Vicia americana",19
2022-07-22,"Stupid Falls",2022,"Achillea millefolium",98
2022-07-22,"Stupid Falls",2022,"Agoseris aurantiaca",1
2022-07-22,"Stupid Falls",2022,"Collomia linearis",55
2022-07-22,"Stupid Falls",2022,"Delphinium barbeyi",418
2022-07-22,"Stupid Falls",2022,"Descurainia incana",46
2022-07-22,"Stupid Falls",2022,"Galium boreale",445
2022-07-22,"Stupid Falls",2022,"Lathyrus leucanthus",1
2022-07-22,"Stupid Falls",2022,"Polygonum douglasii",5
2022-07-22,"Stupid Falls",2022,"Potentilla pulcherrima",161
2022-07-22,"Stupid Falls",2022,"Solidago multiradiata",9
2022-07-22,"Stupid Falls",2022,"Thlaspi arvense",1
2022-07-22,"Stupid Falls",2022,"Tragopogon dubius",4
2022-07-22,"Stupid Falls",2022,"Vicia americana",1
2022-07-23,"Brush Creek Hill",2022,"Agastache urticifolia",112
2022-07-23,"Brush Creek Hill",2022,"Agoseris glauca",7
2022-07-23,"Brush Creek Hill",2022,"Calochortus gunnisonii",1
2022-07-23,"Brush Creek Hill",2022,"Collomia linearis",13
2022-07-23,"Brush Creek Hill",2022,"Delphinium occidentale",72
2022-07-23,"Brush Creek Hill",2022,"Epilobium brachycarpum",13
2022-07-23,"Brush Creek Hill",2022,"Erigeron coulteri",72
2022-07-23,"Brush Creek Hill",2022,"Erigeron speciosus",1098
2022-07-23,"Brush Creek Hill",2022,"Linum lewisii",1
2022-07-23,"Brush Creek Hill",2022,"Potentilla pulcherrima",1
2022-07-23,"Brush Creek Hill",2022,"Vicia americana",12
2022-07-25,"Kebler Pass",2022,"Agoseris glauca",3
2022-07-25,"Kebler Pass",2022,"Erigeron speciosus",258
2022-07-25,"Kebler Pass",2022,"Helianthella quinquenervis",20
2022-07-25,"Kebler Pass",2022,"Heliomeris multiflora",350
2022-07-25,"Kebler Pass",2022,"Ipomopsis aggregata",36
2022-07-25,"Kebler Pass",2022,"Potentilla pulcherrima",12
2022-07-25,"Kebler Pass",2022,"Senecio crassulus",13
2022-07-25,"Kebler Pass",2022,"Wyethia amplexicaulis",9
2022-07-26,"Ohio Pass High",2022,"Achillea millefolium",8
2022-07-26,"Ohio Pass High",2022,"Castilleja sulphurea",179
2022-07-26,"Ohio Pass High",2022,"Collomia linearis",2
2022-07-26,"Ohio Pass High",2022,"Erigeron elatior",36
2022-07-26,"Ohio Pass High",2022,"Erigeron speciosus",124
2022-07-26,"Ohio Pass High",2022,"Helianthella quinquenervis",15
2022-07-26,"Ohio Pass High",2022,"Hymenoxys hoopesii",7
2022-07-26,"Ohio Pass High",2022,"Lathyrus leucanthus",1
2022-07-26,"Ohio Pass High",2022,"Ligusticum porteri",28
2022-07-26,"Ohio Pass High",2022,"Potentilla pulcherrima",27
2022-07-26,"Ohio Pass High",2022,"Senecio crassulus",55
2022-07-26,"Ohio Pass High",2022,"Vicia americana",16
2022-07-26,"Stupid Falls",2022,"Achillea millefolium",114
2022-07-26,"Stupid Falls",2022,"Agoseris glauca",3
2022-07-26,"Stupid Falls",2022,"Collomia linearis",5
2022-07-26,"Stupid Falls",2022,"Delphinium barbeyi",313
2022-07-26,"Stupid Falls",2022,"Descurainia incana",50
2022-07-26,"Stupid Falls",2022,"Galium boreale",480
2022-07-26,"Stupid Falls",2022,"Polygonum douglasii",71
2022-07-26,"Stupid Falls",2022,"Potentilla pulcherrima",179
2022-07-26,"Stupid Falls",2022,"Solidago multiradiata",16
2022-07-26,"Stupid Falls",2022,"Taraxacum officinale",1
2022-07-26,"Stupid Falls",2022,"Tragopogon dubius",4
2022-08-01,"Rustlers Gulch",2022,"Achillea millefolium",51
2022-08-01,"Rustlers Gulch",2022,"Agoseris aurantiaca",1
2022-08-01,"Rustlers Gulch",2022,"Agoseris glauca",1
2022-08-01,"Rustlers Gulch",2022,"Artemisia dracunculus",14
2022-08-01,"Rustlers Gulch",2022,"Geum triflorum",1
2022-08-01,"Rustlers Gulch",2022,"Heliomeris multiflora",6
2022-08-01,"Rustlers Gulch",2022,"Hymenoxys hoopesii",4
2022-08-01,"Rustlers Gulch",2022,"Polygonum douglasii",22
2022-08-01,"Rustlers Gulch",2022,"Potentilla fruticosa",21
2022-08-01,"Rustlers Gulch",2022,"Potentilla pulcherrima",154
2022-08-01,"Rustlers Gulch",2022,"Senecio bigelovii",25
2022-08-01,"Rustlers Gulch",2022,"Solidago multiradiata",63
2022-08-01,"Rustlers Gulch",2022,"Valeriana edulis",44
2022-08-01,"Rustlers Gulch",2022,"Vicia americana",5
2022-08-03,"Kebler Pass",2022,"Agoseris glauca",8
2022-08-03,"Kebler Pass",2022,"Erigeron speciosus",221
2022-08-03,"Kebler Pass",2022,"Heliomeris multiflora",956
2022-08-03,"Kebler Pass",2022,"Ipomopsis aggregata",20
2022-08-03,"Kebler Pass",2022,"Polygonum douglasii",2
2022-08-03,"Ohio Pass High",2022,"Achillea millefolium",8
2022-08-03,"Ohio Pass High",2022,"Agoseris glauca",1
2022-08-03,"Ohio Pass High",2022,"Arnica parryi",1
2022-08-03,"Ohio Pass High",2022,"Boechera stricta",2
2022-08-03,"Ohio Pass High",2022,"Castilleja sulphurea",179
2022-08-03,"Ohio Pass High",2022,"Collomia linearis",3
2022-08-03,"Ohio Pass High",2022,"Erigeron speciosus",279
2022-08-03,"Ohio Pass High",2022,"Eucephalus engelmannii",2
2022-08-03,"Ohio Pass High",2022,"Gentianella amarella",3
2022-08-03,"Ohio Pass High",2022,"Helianthella quinquenervis",2
2022-08-03,"Ohio Pass High",2022,"Heliomeris multiflora",185
2022-08-03,"Ohio Pass High",2022,"Hymenoxys hoopesii",2
2022-08-03,"Ohio Pass High",2022,"Ligusticum porteri",7
2022-08-03,"Ohio Pass High",2022,"Polygonum douglasii",28
2022-08-03,"Ohio Pass High",2022,"Potentilla pulcherrima",4
2022-08-04,"Ohio Pass Low",2022,"Achillea millefolium",50
2022-08-04,"Ohio Pass Low",2022,"Collomia linearis",58
2022-08-04,"Ohio Pass Low",2022,"Erigeron speciosus",1
2022-08-04,"Ohio Pass Low",2022,"Geranium viscosissimum",3
2022-08-04,"Ohio Pass Low",2022,"Heliomeris multiflora",103
2022-08-04,"Ohio Pass Low",2022,"Polygonum douglasii",25
2022-08-04,"Ohio Pass Low",2022,"Potentilla pulcherrima",5
2022-08-04,"Ohio Pass Low",2022,"Solidago canadensis",37
2022-08-04,"Ohio Pass Low",2022,"Tragopogon dubius",8
2022-08-04,"Ohio Pass Low",2022,"Vicia americana",2
2022-08-08,"Ohio Pass Low",2022,"Achillea millefolium",47
2022-08-08,"Ohio Pass Low",2022,"Collomia linearis",26
2022-08-08,"Ohio Pass Low",2022,"Heliomeris multiflora",199
2022-08-08,"Ohio Pass Low",2022,"Solidago canadensis",29
2022-08-08,"Ohio Pass Low",2022,"Tragopogon dubius",9
2022-08-10,"Kebler Pass",2022,"Agoseris glauca",4
2022-08-10,"Kebler Pass",2022,"Erigeron speciosus",63
2022-08-10,"Kebler Pass",2022,"Heliomeris multiflora",1107
2022-08-10,"Kebler Pass",2022,"Ipomopsis aggregata",3
2022-08-10,"Rustlers Gulch",2022,"Achillea millefolium",55
2022-08-10,"Rustlers Gulch",2022,"Agoseris glauca",3
2022-08-10,"Rustlers Gulch",2022,"Artemisia dracunculus",14
2022-08-10,"Rustlers Gulch",2022,"Erigeron speciosus",5
2022-08-10,"Rustlers Gulch",2022,"Heliomeris multiflora",60
2022-08-10,"Rustlers Gulch",2022,"Hymenoxys hoopesii",1
2022-08-10,"Rustlers Gulch",2022,"Polygonum douglasii",8
2022-08-10,"Rustlers Gulch",2022,"Potentilla fruticosa",5
2022-08-10,"Rustlers Gulch",2022,"Potentilla pulcherrima",13
2022-08-10,"Rustlers Gulch",2022,"Senecio bigelovii",1
2022-08-10,"Rustlers Gulch",2022,"Solidago multiradiata",9
2022-08-10,"Rustlers Gulch",2022,"Valeriana edulis",19
