"date","site","round","starttime","endtime","start30","end30","year","starttemp","endtemp","avg.temp"
2020-06-03,"Brush Creek Hill",NA,"10:00","10:37","10:00","10:30",NA,NA,NA,NA
2020-06-03,"Brush Creek Trail",NA,"11:20","11:50","11:30","12:00",NA,NA,NA,NA
2020-06-03,"Stupid Falls",NA,"10:08","10:46","10:00","11:00",NA,NA,NA,NA
2020-06-04,"Gothic Town",NA,"10:05","11:40","10:00","11:30",NA,NA,NA,NA
2020-06-04,"Ohio Pass Low",NA,"11:30","12:15","11:30","12:30",NA,NA,NA,NA
2020-06-05,"Meridian",NA,"11:40","11:50","11:30","12:00",NA,NA,NA,NA
2020-06-05,"Wash 3C",NA,"11:00","11:20","11:00","11:30",2020,24.931,26.879,25.905
2020-06-05,"Pfeiler",NA,"10:10","10:30","10:00","10:30",NA,NA,NA,NA
2020-06-08,"Brush Creek Hill",NA,"10:23","10:52","10:30","11:00",2020,18.806,19.853,19.3295
2020-06-08,"Brush Creek Trail",NA,"11:30","11:45","11:30","12:00",2020,21.378,19.092,20.235
2020-06-08,"Ohio Pass Low",NA,"11:05","11:37","11:00","11:30",2020,18.521,21.855,20.188
2020-06-10,"Stupid Falls",NA,"13:37","14:15","13:30","14:30",2020,20.329,20.615,20.472
2020-06-10,"Gothic Town",NA,"13:26","14:48","13:30","15:00",2020,20.138,19.282,19.71
2020-06-11,"403 Bench",NA,"10:28","10:44","10:30","10:30",2020,18.521,18.521,18.521
2020-06-11,"Rustlers Gulch",NA,"11:40","12:30","11:30","12:30",2020,19.853,20.424,20.1385
2020-06-11,"Avery Picnic",NA,"11:14","12:10","11:00","12:00",2020,18.711,23.869,21.29
2020-06-12,"Pfeiler",NA,"10:10","10:30","10:00","10:30",2020,22.046,20.996,21.521
2020-06-12,"Wash 3C",NA,"10:48","11:00","11:00","11:00",2020,25.708,25.708,25.708
2020-06-12,"Meridian",NA,"11:23","11:43","11:30","11:30",2020,28.06,28.06,28.06
2020-06-15,"Ohio Pass Low",NA,"10:00","10:15","10:00","10:30",2020,18.901,20.329,19.615
2020-06-15,"Ohio Pass High",NA,"10:55","11:11","11:00","11:00",2020,19.187,19.187,19.187
2020-06-15,"Kebler Pass",NA,"11:33","11:48","11:30","12:00",NA,NA,NA,NA
2020-06-15,"Lake Irwin",NA,"12:15","12:30","12:30","12:30",2020,23.966,23.966,23.966
2020-06-16,"Stupid Falls",NA,"10:00","10:26","10:00","10:30",2020,18.14,17.379,17.7595
2020-06-16,"Gothic Town",NA,"11:22","12:03","11:30","12:00",2020,19.282,19.567,19.4245
2020-06-16,"Brush Creek Hill",NA,"10:08","10:34","10:00","10:30",2020,21.76,21.76,21.76
2020-06-16,"Brush Creek Trail",NA,"10:52","10:55","11:00","11:00",2020,21.76,21.76,21.76
2020-06-17,"Avery Picnic",NA,"10:32","11:26","10:30","11:30",2020,12.98,27.272,20.126
2020-06-17,"Rustlers Gulch",NA,"11:58","12:46","12:00","13:00",2020,20.519,21.664,21.0915
2020-06-17,"403 Bench",NA,"10:40","10:47","10:30","11:00",2020,20.234,21.569,20.9015
2020-06-17,"Emerald Lake Hill",NA,"14:21","14:37","14:30","14:30",2020,29.152,29.152,29.152
2020-06-17,"Emerald Lake Shore",NA,"13:49","14:34","14:00","14:30",2020,25.805,21.187,23.496
2020-06-18,"Virginia Basin",NA,"11:35","12:25","11:30","12:30",2020,15.855,16.903,16.379
2020-06-18,"Pfeiler",NA,"11:00","11:13","11:00","11:00",2020,17.855,17.855,17.855
2020-06-18,"Wash 3C",NA,"10:05","10:35","10:00","10:30",2020,22.429,23.004,22.7165
2020-06-18,"Meridian",NA,"12:00","12:46","12:00","13:00",2020,18.426,21.473,19.9495
2020-06-22,"Ohio Pass Low",NA,"10:00","10:14","10:00","10:00",2020,20.424,20.424,20.424
2020-06-22,"Ohio Pass High",NA,"10:46","11:05","11:00","11:00",2020,21.282,21.282,21.282
2020-06-22,"Kebler Pass",NA,"11:24","11:41","11:30","11:30",2020,27.272,27.272,27.272
2020-06-22,"Lake Irwin",NA,"11:59","12:14","12:00","12:00",2020,26.097,26.097,26.097
2020-06-23,"Stupid Falls",NA,"12:47","13:15","13:00","13:30",2020,30.963,30.659,30.811
2020-06-23,"Gothic Town",NA,"10:22","11:45","10:30","12:00",2020,24.255,26.39,25.3225
2020-06-23,"Brush Creek Hill",NA,"11:26","11:56","11:30","12:00",2020,29.053,30.659,29.856
2020-06-23,"Brush Creek Trail",NA,"10:25","10:54","10:30","11:00",2020,25.319,26,25.6595
2020-06-24,"Avery Picnic",NA,"11:50","12:28","12:00","12:30",2020,25.416,31.778,28.597
2020-06-24,"403 Bench",NA,"10:05","10:10","10:00","10:00",2020,20.424,20.424,20.424
2020-06-24,"Rustlers Gulch",NA,"10:08","10:45","10:00","11:00",2020,22.812,21.569,22.1905
2020-06-24,"Emerald Lake Hill",NA,"13:32","14:01","13:30","14:00",2020,29.652,31.676,30.664
2020-06-24,"Emerald Lake Shore",NA,"13:49","14:56","14:00","15:00",2020,26.781,26.292,26.5365
2020-06-25,"Virginia Basin",NA,"9:47","11:35","10:00","11:30",2020,19.662,25.028,22.345
2020-06-25,"Meridian",NA,"10:34","11:10","10:30","11:00",2020,22.333,22.717,22.525
2020-06-25,"Wash 3C",NA,"11:41","12:14","11:30","12:00",2020,29.853,30.356,30.1045
2020-06-26,"Pfeiler",NA,"10:52","11:21","11:00","11:30",2020,21.569,22.525,22.047
2020-06-29,"Ohio Pass Low",NA,"12:12","12:26","12:00","12:30",2020,25.125,24.351,24.738
2020-06-29,"Ohio Pass High",NA,"11:27","11:41","11:30","11:30",2020,23.292,23.292,23.292
2020-06-29,"Kebler Pass",NA,"10:41","10:58","10:30","11:00",2020,23.388,23.1,23.244
2020-06-29,"Lake Irwin",NA,"10:08","10:21","10:00","10:30",2020,19.662,22.525,21.0935
2020-06-30,"Stupid Falls",NA,"13:23","13:38","13:30","13:30",NA,NA,NA,NA
2020-06-30,"Gothic Town",NA,"12:10","13:00","12:00","13:00",2020,18.616,19.282,18.949
2020-06-30,"Brush Creek Hill",NA,"10:40","11:10","10:30","11:00",2020,20.138,20.996,20.567
2020-06-30,"Brush Creek Trail",NA,"11:30","12:00","11:30","12:00",2020,18.426,18.711,18.5685
2020-06-30,"Emerald Lake Hill",NA,"14:49","15:28","15:00","15:30",2020,26.585,24.158,25.3715
2020-06-30,"Emerald Lake Shore",NA,"15:07","15:39","15:00","15:30",2020,16.903,16.713,16.808
2020-07-01,"Avery Picnic",NA,"10:38","11:35","10:30","11:30",2020,10.944,28.357,19.6505
2020-07-01,"403 Bench",NA,"12:49","13:02","13:00","13:00",2020,27.272,27.272,27.272
2020-07-01,"Rustlers Gulch",NA,"12:01","12:47","12:00","13:00",2020,22.333,23.966,23.1495
2020-07-02,"Virginia Basin",NA,"11:12","12:39","11:00","12:30",2020,22.525,25.708,24.1165
2020-07-02,"Meridian",NA,"13:22","13:51","13:30","14:00",2020,32.911,26.977,29.944
2020-07-02,"Wash 3C",NA,"10:59","11:11","11:00","11:00",2020,28.853,28.853,28.853
2020-07-02,"Pfeiler",NA,"11:44","12:35","11:30","12:30",2020,23.677,24.062,23.8695
2020-07-06,"Lake Irwin",NA,"10:08","10:29","10:00","10:30",2020,28.258,29.552,28.905
2020-07-06,"Kebler Pass",NA,"10:55","11:16","11:00","11:30",NA,NA,NA,NA
2020-07-06,"Ohio Pass High",NA,"11:53","12:09","12:00","12:00",2020,28.06,28.06,28.06
2020-07-06,"Ohio Pass Low",NA,"12:41","12:55","12:30","13:00",2020,20.519,21.569,21.044
2020-07-07,"Gothic Town",NA,"12:10","13:22","12:00","13:30",2020,25.708,23.966,24.837
2020-07-07,"Stupid Falls",NA,"10:25","11:01","10:30","11:00",NA,NA,NA,NA
2020-07-07,"Brush Creek Hill",NA,"11:57","12:30","12:00","12:30",2020,36.187,37.604,36.8955
2020-07-07,"Brush Creek Trail",NA,"10:30","11:21","10:30","11:30",2020,27.075,31.676,29.3755
2020-07-08,"Avery Picnic",NA,"10:33","11:06","10:30","11:00",2020,12.497,24.738,18.6175
2020-07-08,"Rustlers Gulch",NA,"12:01","12:34","12:00","12:30",2020,24.351,25.125,24.738
2020-07-08,"403 Bench",NA,"12:17","12:52","12:30","13:00",2020,27.961,29.152,28.5565
2020-07-08,"Emerald Lake Hill",NA,"14:01","14:21","14:00","14:30",2020,29.853,29.652,29.7525
2020-07-08,"Emerald Lake Shore",NA,"13:17","13:42","13:30","13:30",2020,26.292,26.292,26.292
2020-07-09,"Virginia Basin",NA,"11:00","12:52","11:00","13:00",2020,25.319,26.39,25.8545
2020-07-10,"Meridian",NA,"10:27","10:53","10:30","11:00",2020,25.222,26.292,25.757
2020-07-10,"Wash 3C",NA,"11:28","12:02","11:30","12:00",2020,33.743,34.268,34.0055
2020-07-10,"Pfeiler",NA,"11:34","12:06","11:30","12:00",2020,27.961,30.054,29.0075
2020-07-13,"Ohio Pass Low",NA,"10:01","10:18","10:00","10:30",2020,19.282,19.662,19.472
2020-07-13,"Stupid Falls",NA,"14:35","14:50","14:30","15:00",NA,NA,NA,NA
2020-07-14,"Avery Picnic",NA,"10:05","10:40","10:00","10:30",2020,14.038,15.282,14.66
2020-07-14,"403 Bench",NA,"11:51","12:24","12:00","12:30",2020,21.664,18.901,20.2825
2020-07-14,"Rustlers Gulch",NA,"11:28","11:54","11:30","12:00",2020,22.908,24.641,23.7745
2020-07-14,"Emerald Lake Hill",NA,"13:15","13:37","13:30","13:30",2020,24.351,24.351,24.351
2020-07-14,"Emerald Lake Shore",NA,"13:33","14:13","13:30","14:00",2020,22.812,23.966,23.389
2020-07-15,"Virginia Basin",NA,"10:40","12:38","10:30","12:30",2020,21.282,25.319,23.3005
2020-07-15,"Brush Creek Hill",NA,"10:17","10:50","10:30","11:00",2020,26.292,28.754,27.523
2020-07-15,"Brush Creek Trail",NA,"11:23","11:59","11:30","12:00",2020,28.655,30.255,29.455
2020-07-15,"Gothic Town",NA,"12:40","13:24","12:30","13:30",2020,27.075,24.641,25.858
2020-07-16,"Wash 3C",NA,"11:05","12:03","11:00","12:00",2020,29.752,30.76,30.256
2020-07-16,"Pfeiler",NA,"10:16","11:26","10:30","11:30",2020,21.855,27.272,24.5635
2020-07-17,"Ohio Pass High",NA,"10:00","10:38","10:00","10:30",2020,17.379,18.711,18.045
2020-07-17,"Kebler Pass",NA,"11:10","11:37","11:00","11:30",NA,NA,NA,NA
2020-07-17,"Lake Irwin",NA,"12:13","12:40","12:00","12:30",2020,27.37,23.484,25.427
2020-07-18,"Meridian",NA,"10:13","11:22","10:00","11:30",2020,19.662,22.621,21.1415
2020-07-21,"Avery Picnic",NA,"10:00","12:10","10:00","12:00",2020,11.139,27.665,19.402
2020-07-21,"403 Bench",NA,"10:29","11:28","10:30","11:30",2020,22.812,28.555,25.6835
2020-07-21,"Rustlers Gulch",NA,"12:51","13:30","13:00","13:30",2020,24.931,27.272,26.1015
2020-07-23,"Virginia Basin",NA,"10:43","13:26","10:30","13:30",2020,14.613,20.996,17.8045
2020-07-23,"Emerald Lake Hill",NA,"11:44","12:24","11:30","12:30",2020,18.996,27.567,23.2815
2020-07-23,"Emerald Lake Shore",NA,"10:00","11:13","10:00","11:00",2020,20.805,23.196,22.0005
2020-07-23,"Pfeiler",NA,"13:40","14:42","13:30","14:30",2020,27.075,29.053,28.064
2020-07-27,"Lake Irwin",NA,"10:30","11:02","10:30","11:00",2020,23.581,24.931,24.256
2020-07-27,"Kebler Pass",NA,"9:35","10:33","09:30","10:30",NA,NA,NA,NA
2020-07-27,"Ohio Pass High",NA,"11:21","11:55","11:30","12:00",2020,25.513,26.195,25.854
2020-07-27,"Brush Creek Trail",NA,"12:30","13:00","12:30","13:00",2020,28.555,27.567,28.061
2020-07-28,"Wash 3C",NA,"12:01","12:35","12:00","12:30",2020,23.1,22.812,22.956
2020-07-28,"Pfeiler",NA,"11:11","11:40","11:00","11:30",2020,19.282,19.758,19.52
2020-07-29,"Virginia Basin",NA,"10:32","13:03","10:30","13:00",2020,18.331,19.948,19.1395
2020-07-29,"Emerald Lake Hill",NA,"11:35","12:20","11:30","12:30",2020,21.76,19.187,20.4735
2020-07-29,"Emerald Lake Shore",NA,"10:00","11:00","10:00","11:00",2020,20.424,23.004,21.714
2020-07-30,"403 Bench",NA,"11:25","12:25","11:30","12:30",2020,24.835,NA,24.835
2020-07-31,"Ohio Pass High",NA,"9:44","10:16","09:30","10:30",2020,13.558,NA,13.558
2020-07-31,"Kebler Pass",NA,"10:40","11:10","10:30","11:00",NA,NA,NA,NA
2020-07-31,"Lake Irwin",NA,"11:38","12:08","11:30","12:00",2020,33.43,30.963,32.1965
2021-05-06,"Ohio Pass Low",NA,"12:34","12:54","12:30","13:00",NA,NA,NA,NA
2021-05-14,"Brush Creek Hill",NA,"11:02","11:38","11:00","11:30",NA,NA,NA,NA
2021-05-14,"Ohio Pass Low",NA,"13:25","13:55","13:30","14:00",NA,NA,NA,NA
2021-05-20,"Ohio Pass Low",NA,"10:10","11:00","10:00","11:00",NA,NA,NA,NA
2021-05-25,"Brush Creek Trail",NA,"12:30","12:55","12:30","13:00",2021,18.14,18.996,18.568
2021-05-25,"Brush Creek Hill",NA,"11:05","11:35","11:00","11:30",2021,20.615,20.615,20.615
2021-05-27,"Meridian",NA,"10:56","11:37","11:00","11:30",NA,NA,NA,NA
2021-05-27,"Wash 3C",NA,"9:53","10:23","10:00","10:30",2021,17.665,17.284,17.4745
2021-05-27,"Stupid Falls",NA,"12:45","13:17","13:00","13:30",2021,18.045,19.662,18.8535
2021-05-27,"Gothic Town",NA,"13:50","14:38","14:00","14:30",2021,17.855,20.043,18.949
2021-05-28,"Ohio Pass Low",NA,"11:52","12:56","12:00","13:00",2021,22.717,23.388,23.0525
2021-06-01,"Kebler Pass",NA,"12:59","13:14","13:00","13:00",2021,18.806,18.806,18.806
2021-06-01,"Lake Irwin",NA,"12:19","12:44","12:30","12:30",2021,15.951,15.951,15.951
2021-06-01,"Coal Creek",NA,"13:27","13:42","13:30","13:30",2021,19.092,19.092,19.092
2021-05-29,"403 Bench",NA,"12:58","13:40","13:00","13:30",2021,21.76,23.1,22.43
2021-06-02,"Gothic Town",NA,"9:57","10:42","10:00","10:30",2021,20.805,20.234,20.5195
2021-06-02,"Stupid Falls",NA,"12:40","12:58","12:30","13:00",2021,22.812,25.222,24.017
2021-06-03,"Rustlers Gulch",NA,"13:10","13:30","13:00","13:30",NA,NA,NA,NA
2021-06-03,"Wash 3C",NA,"10:46","11:01","11:00","11:00",2021,23.869,23.869,23.869
2021-06-03,"Meridian",NA,"11:36","11:50","11:30","12:00",2021,28.06,26.195,27.1275
2021-06-03,"Pfeiler",NA,"9:45","10:16","10:00","10:30",NA,NA,NA,NA
2021-06-04,"Brush Creek Trail",1,"10:00","10:35","10:00","10:30",2021,21.951,22.525,22.238
2021-06-04,"Brush Creek Trail",2,"11:59","12:40","12:00","12:30",2021,24.931,25.61,25.2705
2021-06-04,"Brush Creek Trail",3,"14:00","14:30","14:00","14:30",2021,26.585,27.075,26.83
2021-06-04,"Brush Creek Hill",1,"10:00","10:40","10:00","10:30",2021,29.853,28.655,29.254
2021-06-04,"Brush Creek Hill",2,"12:00","12:32","12:00","12:30",2021,30.457,31.472,30.9645
2021-06-04,"Brush Creek Hill",3,"13:55","14:29","14:00","14:30",2021,30.054,30.356,30.205
2021-06-07,"Avery Picnic",NA,"10:40","12:10","10:30","12:00",2021,17.379,20.71,19.0445
2021-06-07,"403 Bench",NA,"10:28","11:07","10:30","11:00",2021,22.142,23.869,23.0055
2021-06-07,"Rustlers Gulch",NA,"12:56","13:39","13:00","13:30",2021,22.717,24.448,23.5825
2021-06-08,"Ohio Pass Low",NA,"9:44","10:06","09:30","10:00",2021,20.901,20.901,20.901
2021-06-08,"Lake Irwin",NA,"12:40","12:55","12:30","13:00",2021,26,26,26
2021-06-08,"Coal Creek",NA,"13:21","13:30","13:30","13:30",2021,27.961,27.961,27.961
2021-06-08,"Ohio Pass High",NA,"11:32","12:10","11:30","12:00",2021,21.76,21.855,21.8075
2021-06-09,"Stupid Falls",1,"10:25","10:57","10:30","11:00",2021,25.708,25.416,25.562
2021-06-09,"Stupid Falls",2,"12:06","12:42","12:00","12:30",2021,26.097,25.416,25.7565
2021-06-09,"Stupid Falls",3,"14:00","14:30","14:00","14:30",2021,27.862,27.665,27.7635
2021-06-09,"Kebler Pass",1,"10:00","10:42","10:00","10:30",2021,25.319,26.195,25.757
2021-06-09,"Kebler Pass",2,"12:00","12:35","12:00","12:30",2021,29.552,30.054,29.803
2021-06-09,"Kebler Pass",3,"14:00","14:29","14:00","14:30",2021,32.291,30.255,31.273
2021-06-10,"Brush Creek Trail",1,"10:00","10:30","10:00","10:30",2021,25.319,27.862,26.5905
2021-06-10,"Brush Creek Trail",2,"12:00","12:26","12:00","12:30",2021,23.004,21.76,22.382
2021-06-10,"Brush Creek Trail",3,"14:00","14:28","14:00","14:30",2021,22.812,25.805,24.3085
2021-06-10,"Brush Creek Hill",1,"10:02","10:38","10:00","10:30",2021,28.159,30.356,29.2575
2021-06-10,"Brush Creek Hill",2,"11:59","12:32","12:00","12:30",2021,24.351,22.046,23.1985
2021-06-10,"Brush Creek Hill",3,"13:59","14:40","14:00","14:30",2021,24.351,27.075,25.713
2021-06-11,"Gothic Town",NA,"10:17","11:12","10:30","11:00",2021,22.046,23.196,22.621
2021-06-11,"Meridian",NA,"10:40","11:15","10:30","11:30",2021,24.158,24.931,24.5445
2021-06-11,"Wash 3C",NA,"13:38","14:17","13:30","14:30",2021,26.097,26.977,26.537
2021-06-11,"Pfeiler",NA,"12:29","13:07","12:30","13:00",2021,26.585,26.585,26.585
2021-06-14,"Rustlers Gulch",1,"10:10","10:54","10:00","11:00",2021,25.513,28.655,27.084
2021-06-14,"Rustlers Gulch",2,"12:00","12:44","12:00","12:30",2021,28.655,28.159,28.407
